MC5;
time/s;Fluo/V;P700 deltaI/I x10³;
13.240;0.2619;0.6397;
13.260;0.2473;0.5741;
13.280;0.2473;0.6028;
13.300;0.2553;0.5987;
13.320;0.2553;0.6890;
13.340;0.2553;0.5864;
13.360;0.2599;0.6397;
13.380;0.2599;0.6808;
13.400;0.2587;0.6028;
13.420;0.2587;0.6274;
13.440;0.2587;0.5987;
13.460;0.2566;0.6890;
13.480;0.2566;0.6397;
13.500;0.2537;0.6233;
13.520;0.2537;0.6233;
13.540;0.2537;0.5823;
13.560;0.2547;0.6192;
13.580;0.2547;0.6110;
13.600;0.2544;0.5905;
13.620;0.2544;0.6151;
13.640;0.2544;0.5946;
13.660;0.2614;0.6151;
13.680;0.2614;0.6562;
13.700;0.2599;0.5987;
13.720;0.2599;0.5905;
13.740;0.2599;0.6644;
13.760;0.2584;0.5618;
13.780;0.2584;0.6685;
13.800;0.2613;0.5700;
13.820;0.2613;0.6069;
13.840;0.2613;0.5495;
13.860;0.2593;0.5331;
13.880;0.2593;0.6028;
13.900;0.2576;0.6110;
13.920;0.2576;0.5905;
13.940;0.2576;0.5577;
13.960;0.2595;0.6274;
13.980;0.2595;0.5864;
14.000;0.2517;0.5987;
14.020;0.2517;0.5946;
14.040;0.2517;0.5946;
14.060;0.2631;0.5618;
14.080;0.2631;0.6151;
14.100;0.2589;0.6028;
14.120;0.2589;0.6110;
14.140;0.2589;0.5905;
14.160;0.2642;0.6356;
14.180;0.2642;0.5741;
14.200;0.2576;0.5413;
14.220;0.2576;0.6274;
14.240;0.2576;0.6192;
14.260;0.2679;0.5249;
14.280;0.2679;0.6110;
14.300;0.2560;0.5659;
14.320;0.2560;0.6931;
14.340;0.2560;0.5741;
14.360;0.2573;0.5987;
14.380;0.2573;0.6110;
14.400;0.2627;0.5495;
14.420;0.2627;0.5536;
14.440;0.2627;0.6315;
14.460;0.2517;0.5126;
14.480;0.2517;0.6356;
14.500;0.2607;0.5741;
14.520;0.2607;0.6931;
14.540;0.2607;0.6356;
14.560;0.2592;0.5782;
14.580;0.2592;0.5413;
14.600;0.2550;0.5864;
14.620;0.2550;0.6274;
14.640;0.2550;0.6315;
14.660;0.2526;0.6192;
14.680;0.2526;0.5741;
14.700;0.2552;0.6192;
14.720;0.2552;0.6069;
14.740;0.2552;0.6274;
14.760;0.2563;0.5659;
14.780;0.2563;0.6479;
14.800;0.2616;0.5905;
14.820;0.2616;0.6192;
14.840;0.2616;0.5823;
14.860;0.2485;0.5987;
14.880;0.2485;0.5741;
14.900;0.2608;0.6274;
14.920;0.2608;0.6028;
14.940;0.2608;0.5823;
14.960;0.2560;0.5372;
14.980;0.2560;0.6562;
15.000;0.2648;0.6315;
15.020;0.2648;0.6849;
15.040;0.2648;0.5823;
15.060;0.2582;0.5946;
15.080;0.2582;0.5987;
15.100;0.2534;0.5577;
15.120;0.2534;0.6520;
15.140;0.2534;0.5741;
15.160;0.2592;0.5577;
15.180;0.2592;0.5577;
15.200;0.2662;0.6685;
15.220;0.2662;0.5741;
15.240;0.2662;0.5413;
15.260;0.2637;0.5659;
15.280;0.2637;0.6069;
15.300;0.2619;0.6233;
15.320;0.2619;0.6562;
15.340;0.2619;0.5003;
15.360;0.2529;0.5700;
15.380;0.2529;0.5823;
15.400;0.2529;0.5741;
15.420;0.2529;0.5946;
15.440;0.2529;0.5454;
15.460;0.2544;0.5618;
15.480;0.2544;0.5946;
15.500;0.2592;0.5618;
15.520;0.2592;0.5577;
15.540;0.2592;0.5946;
15.560;0.2599;0.5700;
15.580;0.2599;0.6315;
15.600;0.2537;0.5536;
15.620;0.2537;0.5536;
15.640;0.2537;0.5003;
15.660;0.2515;0.5946;
15.680;0.2515;0.5290;
15.700;0.2669;0.5413;
15.720;0.2669;0.5946;
15.740;0.2669;0.5700;
15.760;0.2622;0.5823;
15.780;0.2622;0.5659;
15.800;0.2656;0.5167;
15.820;0.2656;0.6151;
15.840;0.2656;0.5536;
15.860;0.2572;0.6808;
15.880;0.2572;0.5782;
15.900;0.2508;0.5495;
15.920;0.2508;0.5044;
15.940;0.2508;0.6274;
15.960;0.2566;0.6233;
15.980;0.2566;0.5987;
16.000;0.2585;0.5249;
16.020;0.2585;0.5372;
16.040;0.2585;0.5782;
16.060;0.2637;0.6151;
16.080;0.2637;0.5413;
16.100;0.2549;0.5536;
16.120;0.2549;0.6192;
16.140;0.2549;0.4962;
16.160;0.2639;0.5864;
16.180;0.2639;0.5864;
16.200;0.2599;0.5331;
16.220;0.2599;0.5495;
16.240;0.2599;0.5864;
16.260;0.2662;0.5700;
16.280;0.2662;0.5659;
16.300;0.2602;0.6274;
16.320;0.2602;0.6151;
16.340;0.2602;0.6110;
16.360;0.2547;0.6069;
16.380;0.2547;0.5536;
16.400;0.2526;0.5864;
16.420;0.2526;0.5741;
16.440;0.2526;0.5085;
16.460;0.2540;0.5290;
16.480;0.2540;0.5864;
16.500;0.2627;0.5290;
16.520;0.2627;0.5741;
16.540;0.2627;0.5495;
16.560;0.2601;0.5085;
16.580;0.2601;0.5577;
16.600;0.2610;0.5905;
16.620;0.2610;0.5372;
16.640;0.2610;0.6192;
16.660;0.2680;0.4757;
16.680;0.2680;0.6028;
16.700;0.2659;0.5987;
16.720;0.2659;0.5003;
16.740;0.2659;0.6028;
16.760;0.2636;0.5290;
16.780;0.2636;0.5536;
16.800;0.2666;0.5331;
16.820;0.2666;0.5413;
16.840;0.2666;0.5208;
16.860;0.2624;0.5782;
16.880;0.2624;0.5413;
16.900;0.2611;0.5249;
16.920;0.2611;0.5987;
16.940;0.2611;0.6644;
16.960;0.2535;0.5249;
16.980;0.2535;0.5290;
17.000;0.2640;0.5741;
17.020;0.2640;0.7054;
17.040;0.2640;0.5700;
17.060;0.2645;0.5741;
17.080;0.2645;0.5659;
17.100;0.2643;0.6397;
17.120;0.2643;0.5618;
17.140;0.2643;0.5495;
17.160;0.2596;0.5618;
17.180;0.2596;0.4880;
17.200;0.2650;0.5372;
17.220;0.2650;0.6069;
17.240;0.2650;0.5741;
17.260;0.2643;0.5618;
17.280;0.2643;0.6315;
17.300;0.2613;0.5700;
17.320;0.2613;0.6069;
17.340;0.2613;0.4634;
17.360;0.2663;0.6110;
17.380;0.2663;0.6069;
17.400;0.2654;0.5618;
17.420;0.2654;0.5454;
17.440;0.2654;0.5372;
17.460;0.2518;0.5905;
